ID,Filename,Lat,Lon,Alt,Heading
1,foto_001.jpg,-35.3632621,149.1652374,0.0,0
2,foto_002.jpg,-35.3632621,149.1652374,0.0,0
3,foto_003.jpg,-35.3632621,149.1652374,0.0,0
4,foto_004.jpg,-35.3632621,149.1652374,0.0,0
5,foto_005.jpg,-35.3632621,149.1652374,0.0,0
6,foto_006.jpg,-35.3632621,149.1652374,0.0,0
7,foto_007.jpg,-35.3632621,149.1652374,0.0,0
8,foto_008.jpg,-35.3632621,149.1652374,0.0,0
9,foto_009.jpg,-35.363123,149.1652586,9.97,85
10,foto_010.jpg,-35.3631265,149.1652662,9.98,100
11,foto_011.jpg,-35.3632099,149.1653797,10.0,148
12,foto_012.jpg,-35.3632135,149.1653824,10.01,153
13,foto_013.jpg,-35.363301,149.1653869,10.01,190
14,foto_014.jpg,-35.3633033,149.1653866,10.01,199
15,foto_015.jpg,-35.3633662,149.1653306,10.01,225
16,foto_016.jpg,-35.363369,149.1653274,10.01,232
17,foto_017.jpg,-35.363393,149.1652423,10.0,259
18,foto_018.jpg,-35.3633942,149.1652356,10.01,265
19,foto_019.jpg,-35.363374,149.1651454,10.0,296
20,foto_020.jpg,-35.3633713,149.1651386,10.01,302
