ID,Filename,Lat,Lon,Alt,Heading,AltObjetivo,OK
1,foto_001.jpg,-35.3632081,149.1652302,4.98,353.0,5,False
2,foto_002.jpg,-35.3632072,149.1652299,4.99,175.0,5,False
3,foto_003.jpg,-35.3632096,149.16525,4.99,136.0,5,False
4,foto_004.jpg,-35.3632098,149.1652504,5.0,193.0,5,False
5,foto_005.jpg,-35.3632172,149.1652686,5.0,155.0,5,False
6,foto_006.jpg,-35.3632184,149.1652701,5.0,206.0,5,False
7,foto_007.jpg,-35.3632291,149.1652833,5.0,173.0,5,False
8,foto_008.jpg,-35.3632299,149.1652838,5.0,230.0,5,False
9,foto_009.jpg,-35.363244,149.1652928,5.0,193.0,5,False
10,foto_010.jpg,-35.3632444,149.1652928,5.0,250.0,5,False
11,foto_011.jpg,-35.3632608,149.1652961,5.0,212.0,5,False
12,foto_012.jpg,-35.3632611,149.1652959,5.0,270.0,5,False
13,foto_013.jpg,-35.3632774,149.1652929,5.0,232.0,5,False
14,foto_014.jpg,-35.3632777,149.1652928,5.0,289.0,5,False
