ID,Filename,Lat,Lon,Alt,Heading
1,foto_001.jpg,-35.3632622,149.1652375,0.004,354
2,foto_002.jpg,-35.3632622,149.1652375,0.004,354
3,foto_003.jpg,-35.3632622,149.1652375,0.004,354
4,foto_004.jpg,-35.3632622,149.1652375,0.004,354
5,foto_005.jpg,-35.3632622,149.1652375,0.004,354
6,foto_006.jpg,-35.3632622,149.1652375,0.004,354
7,foto_007.jpg,-35.3632622,149.1652375,0.004,354
8,foto_008.jpg,-35.3632622,149.1652375,0.004,354
9,foto_009.jpg,-35.3631522,149.1653278,9.998,117
10,foto_010.jpg,-35.3631523,149.165328,9.998,117
