ID,Filename,Lat,Lon,Alt,Heading,AltObjetivo
1,foto_001.jpg,-35.3631285,149.1652123,9.95,81,10
2,foto_002.jpg,-35.3631306,149.1652626,10.0,100,10
3,foto_003.jpg,-35.3631479,149.1653173,10.01,117,10
4,foto_004.jpg,-35.363172,149.1653514,10.0,137,10
5,foto_005.jpg,-35.3632058,149.1653785,10.0,158,10
6,foto_006.jpg,-35.3632464,149.1653921,10.0,172,10
7,foto_007.jpg,-35.3632935,149.1653887,10.01,189,10
8,foto_008.jpg,-35.3633266,149.1653719,10.0,207,10
9,foto_009.jpg,-35.3633595,149.1653397,10.0,227,10
10,foto_010.jpg,-35.3633821,149.1652973,10.0,243,10
11,foto_011.jpg,-35.3633941,149.1652413,10.01,262,10
12,foto_012.jpg,-35.3633909,149.1651937,10.0,279,10
13,foto_013.jpg,-35.3633753,149.1651461,10.0,298,10
14,foto_014.jpg,-35.3633488,149.1651071,10.0,318,10
15,foto_015.jpg,-35.3633118,149.1650788,10.01,335,10
16,foto_016.jpg,-35.3632708,149.1650669,10.01,352,10
17,foto_017.jpg,-35.3632288,149.1650712,10.01,9,10
18,foto_018.jpg,-35.363191,149.1650906,10.01,27,10
19,foto_019.jpg,-35.3631591,149.1651243,10.0,45,10
20,foto_020.jpg,-35.3631373,149.1651683,10.01,63,10
21,foto_021.jpg,-35.3631284,149.1652141,11.91,81,14
22,foto_022.jpg,-35.3631308,149.1652641,14.0,99,14
23,foto_023.jpg,-35.3631458,149.1653119,14.0,117,14
24,foto_024.jpg,-35.3631726,149.1653521,14.0,137,14
25,foto_025.jpg,-35.3632078,149.1653796,14.0,154,14
26,foto_026.jpg,-35.3632486,149.1653926,14.0,171,14
27,foto_027.jpg,-35.3632895,149.1653895,14.0,189,14
28,foto_028.jpg,-35.3633279,149.165371,14.0,207,14
29,foto_029.jpg,-35.3633599,149.1653392,14.0,228,14
30,foto_030.jpg,-35.3633824,149.1652967,14.0,247,14
31,foto_031.jpg,-35.3633938,149.1652432,14.01,261,14
32,foto_032.jpg,-35.3633905,149.165191,14.01,280,14
33,foto_033.jpg,-35.3633745,149.1651441,14.01,297,14
34,foto_034.jpg,-35.3633466,149.1651043,14.01,315,14
35,foto_035.jpg,-35.3633107,149.165078,14.01,333,14
36,foto_036.jpg,-35.3632699,149.1650666,14.01,351,14
37,foto_037.jpg,-35.3632294,149.1650709,14.01,11,14
38,foto_038.jpg,-35.3631905,149.1650909,14.0,27,14
39,foto_039.jpg,-35.3631588,149.1651247,14.01,45,14
40,foto_040.jpg,-35.3631374,149.1651684,14.01,64,14
