ID,Filename,Lat,Lon,Alt,Heading
1,foto_001.png,-35.3631321,149.1651808,0.0,60
2,foto_002.png,-35.3631321,149.1651808,0.0,60
3,foto_003.png,-35.3631321,149.1651808,0.0,60
4,foto_004.png,-35.3631321,149.1651808,0.0,60
5,foto_005.png,-35.3631321,149.1651808,0.0,60
6,foto_006.png,-35.3631321,149.1651808,0.0,60
7,foto_007.png,-35.3631321,149.1651808,0.0,60
8,foto_008.png,-35.3631321,149.1651808,0.0,60
9,foto_009.png,-35.3631509,149.1653234,10.01,116
10,foto_010.png,-35.3631522,149.1653266,10.01,124
11,foto_011.png,-35.3632145,149.165383,10.01,150
12,foto_012.png,-35.3632178,149.1653854,10.01,154
13,foto_013.png,-35.3633336,149.1653667,10.0,205
