ID,Filename,Lat,Lon,Alt,Heading
1,foto_001.jpg,-35.3632622,149.1652375,0.003,354
2,foto_002.jpg,-35.3632622,149.1652375,0.003,354
3,foto_003.jpg,-35.3632622,149.1652375,0.003,354
4,foto_004.jpg,-35.3632622,149.1652375,0.003,354
5,foto_005.jpg,-35.3632622,149.1652375,0.003,354
6,foto_006.jpg,-35.3632622,149.1652375,0.003,354
7,foto_007.jpg,-35.3632622,149.1652375,0.003,354
8,foto_008.jpg,-35.3632622,149.1652375,0.003,354
9,foto_009.jpg,-35.3631513,149.1653273,9.995,122
10,foto_010.jpg,-35.3631517,149.1653277,9.997,122
11,foto_011.jpg,-35.3632188,149.1653878,10.0,153
12,foto_012.jpg,-35.3632194,149.165388,10.001,153
13,foto_013.jpg,-35.3633023,149.1653881,9.999,188
14,foto_014.jpg,-35.3633031,149.1653878,10.0,189
15,foto_015.jpg,-35.3633698,149.1653285,9.999,224
16,foto_016.jpg,-35.3633705,149.1653276,10.0,225
17,foto_017.jpg,-35.3633961,149.165232,9.999,260
18,foto_018.jpg,-35.3633962,149.1652303,9.999,262
19,foto_019.jpg,-35.3633713,149.1651343,9.999,296
20,foto_020.jpg,-35.3633706,149.1651326,9.999,297
