ID,Filename,Lat,Lon,Alt,Heading,AltObjetivo
1,foto_001.jpg,-35.3632166,149.1652312,4.29,353,5
2,foto_002.jpg,-35.3632079,149.1652299,4.82,353,5
3,foto_003.jpg,-35.363206,149.1652298,5.05,353,5
4,foto_004.jpg,-35.3632098,149.1652499,4.99,128,5
5,foto_005.jpg,-35.3632097,149.1652508,4.99,191,5
6,foto_006.jpg,-35.3632117,149.1652566,4.99,154,5
7,foto_007.jpg,-35.3632173,149.165269,4.99,211,5
8,foto_008.jpg,-35.3632218,149.1652751,5.0,164,5
9,foto_009.jpg,-35.3632291,149.1652833,4.99,227,5
10,foto_010.jpg,-35.3632367,149.1652889,4.99,194,5
11,foto_011.jpg,-35.3632427,149.165292,5.0,158,5
12,foto_012.jpg,-35.3632528,149.165295,5.0,209,5
13,foto_013.jpg,-35.3632592,149.1652958,5.0,178,5
14,foto_014.jpg,-35.3632693,149.1652952,4.99,279,5
15,foto_015.jpg,-35.3632779,149.1652926,5.0,267,5
16,foto_016.jpg,-35.3632836,149.1652896,5.0,219,5
17,foto_017.jpg,-35.3632927,149.1652833,4.99,306,5
18,foto_018.jpg,-35.3632978,149.165278,5.0,253,5
19,foto_019.jpg,-35.3633045,149.165269,5.0,327,5
20,foto_020.jpg,-35.363309,149.1652597,5.0,300,5
21,foto_021.jpg,-35.3633115,149.1652523,5.0,251,5
22,foto_022.jpg,-35.3633142,149.1652399,5.0,311,5
23,foto_023.jpg,-35.3633145,149.1652322,5.0,273,5
24,foto_024.jpg,-35.3633143,149.1652201,5.0,312,5
25,foto_025.jpg,-35.3633121,149.1652093,5.0,328,5
26,foto_026.jpg,-35.3633096,149.165202,5.0,294,5
27,foto_027.jpg,-35.3633043,149.1651909,4.99,39,5
28,foto_028.jpg,-35.3633,149.1651848,5.0,347,5
29,foto_029.jpg,-35.3632931,149.165177,5.0,350,5
30,foto_030.jpg,-35.3632857,149.1651714,5.0,13,5
31,foto_031.jpg,-35.3632785,149.1651676,5.0,344,5
32,foto_032.jpg,-35.3632695,149.1651648,5.0,43,5
33,foto_033.jpg,-35.3632614,149.1651638,5.0,32,5
34,foto_034.jpg,-35.3632529,149.1651646,5.0,53,5
35,foto_035.jpg,-35.3632446,149.1651671,5.0,62,5
36,foto_036.jpg,-35.3632364,149.1651712,5.0,70,5
37,foto_037.jpg,-35.3632299,149.1651762,5.0,69,5
38,foto_038.jpg,-35.3632231,149.1651829,5.0,89,5
39,foto_039.jpg,-35.3632194,149.1651882,5.0,56,5
40,foto_040.jpg,-35.3632133,149.1651992,5.0,101,5
41,foto_041.jpg,-35.3632099,149.1652091,5.0,111,9
42,foto_042.jpg,-35.3632081,149.1652176,5.0,80,9
43,foto_043.jpg,-35.363207,149.1652297,8.71,175,9
