ID,Filename,Lat,Lon,Alt,Heading
1,foto_001.png,-35.3631324,149.1651804,0.0,60
2,foto_002.png,-35.3631324,149.1651804,0.0,60
3,foto_003.png,-35.3631324,149.1651804,0.0,60
4,foto_004.png,-35.3631324,149.1651804,0.0,60
5,foto_005.png,-35.3631324,149.1651804,0.0,60
6,foto_006.png,-35.3631324,149.1651804,0.0,60
7,foto_007.png,-35.3631324,149.1651804,0.0,60
8,foto_008.png,-35.3631324,149.1651804,0.0,60
9,foto_009.png,-35.3631485,149.1653169,9.96,115
10,foto_010.png,-35.3631508,149.1653226,9.99,121
11,foto_011.png,-35.3632155,149.1653842,10.01,153
12,foto_012.png,-35.3632189,149.1653863,10.02,160
13,foto_013.png,-35.3633,149.1653872,10.01,188
14,foto_014.png,-35.3633028,149.1653868,10.02,196
15,foto_015.png,-35.3633644,149.1653327,10.0,223
16,foto_016.png,-35.3633678,149.1653289,10.01,227
17,foto_017.png,-35.3633944,149.1652351,10.01,259
18,foto_018.png,-35.3633952,149.1652312,10.02,263
19,foto_019.png,-35.3633713,149.1651375,10.01,296
20,foto_020.png,-35.3633698,149.1651338,10.02,303
