ID,Filename,Lat,Lon,Alt,Heading
1,foto_001.jpg,-35.3632621,149.1652374,0.0,0
2,foto_002.jpg,-35.3632621,149.1652374,0.0,0
3,foto_003.jpg,-35.3632621,149.1652374,0.0,0
4,foto_004.jpg,-35.3632621,149.1652374,0.0,0
5,foto_005.jpg,-35.3632621,149.1652374,0.0,0
6,foto_006.jpg,-35.3632621,149.1652374,0.0,0
7,foto_007.jpg,-35.3632621,149.1652374,0.0,0
8,foto_008.jpg,-35.3632621,149.1652374,0.0,0
9,foto_009.jpg,-35.3631376,149.1652901,9.99,117
10,foto_010.jpg,-35.3631417,149.1653005,10.0,120
11,foto_011.jpg,-35.3632114,149.165381,10.0,151
12,foto_012.jpg,-35.3632159,149.1653844,10.01,154
13,foto_013.jpg,-35.3632993,149.1653873,10.01,187
14,foto_014.jpg,-35.3633023,149.1653869,10.02,193
15,foto_015.jpg,-35.3633606,149.1653369,10.0,223
16,foto_016.jpg,-35.363365,149.1653318,10.0,227
17,foto_017.jpg,-35.3633923,149.165248,9.99,259
18,foto_018.jpg,-35.3633935,149.1652399,10.0,263
19,foto_019.jpg,-35.3633765,149.1651518,9.99,296
20,foto_020.jpg,-35.3633735,149.1651441,10.0,300
